Name,wACSF_Rad0_0,wACSF_Rad0_1,wACSF_Rad0_2,wACSF_Rad0_3,wACSF_Rad0_4,wACSF_Rad0_5,wACSF_Rad0_6,wACSF_Rad0_7,wACSF_Rad0_8,wACSF_Rad0_9,wACSF_Rad1_0,wACSF_Rad1_1,wACSF_Rad1_2,wACSF_Rad1_3,wACSF_Rad1_4,wACSF_Rad1_5,wACSF_Rad1_6,wACSF_Rad1_7,wACSF_Rad1_8,wACSF_Rad1_9,wACSF_Rad2_0,wACSF_Rad2_1,wACSF_Rad2_2,wACSF_Rad2_3,wACSF_Rad2_4,wACSF_Rad2_5,wACSF_Rad2_6,wACSF_Rad2_7,wACSF_Rad2_8,wACSF_Rad2_9,wACSF_Rad3_0,wACSF_Rad3_1,wACSF_Rad3_2,wACSF_Rad3_3,wACSF_Rad3_4,wACSF_Rad3_5,wACSF_Rad3_6,wACSF_Rad3_7,wACSF_Rad3_8,wACSF_Rad3_9,wACSF_Rad4_0,wACSF_Rad4_1,wACSF_Rad4_2,wACSF_Rad4_3,wACSF_Rad4_4,wACSF_Rad4_5,wACSF_Rad4_6,wACSF_Rad4_7,wACSF_Rad4_8,wACSF_Rad4_9,wACSF_Rad5_0,wACSF_Rad5_1,wACSF_Rad5_2,wACSF_Rad5_3,wACSF_Rad5_4,wACSF_Rad5_5,wACSF_Rad5_6,wACSF_Rad5_7,wACSF_Rad5_8,wACSF_Rad5_9,wACSF_Rad6_0,wACSF_Rad6_1,wACSF_Rad6_2,wACSF_Rad6_3,wACSF_Rad6_4,wACSF_Rad6_5,wACSF_Rad6_6,wACSF_Rad6_7,wACSF_Rad6_8,wACSF_Rad6_9,wACSF_Rad7_0,wACSF_Rad7_1,wACSF_Rad7_2,wACSF_Rad7_3,wACSF_Rad7_4,wACSF_Rad7_5,wACSF_Rad7_6,wACSF_Rad7_7,wACSF_Rad7_8,wACSF_Rad7_9,wACSF_Ang0_0,wACSF_Ang0_1,wACSF_Ang0_2,wACSF_Ang0_3,wACSF_Ang0_4,wACSF_Ang0_5,wACSF_Ang0_6,wACSF_Ang0_7,wACSF_Ang0_8,wACSF_Ang0_9,wACSF_Ang1_0,wACSF_Ang1_1,wACSF_Ang1_2,wACSF_Ang1_3,wACSF_Ang1_4,wACSF_Ang1_5,wACSF_Ang1_6,wACSF_Ang1_7,wACSF_Ang1_8,wACSF_Ang1_9,wACSF_Ang2_0,wACSF_Ang2_1,wACSF_Ang2_2,wACSF_Ang2_3,wACSF_Ang2_4,wACSF_Ang2_5,wACSF_Ang2_6,wACSF_Ang2_7,wACSF_Ang2_8,wACSF_Ang2_9,wACSF_Ang3_0,wACSF_Ang3_1,wACSF_Ang3_2,wACSF_Ang3_3,wACSF_Ang3_4,wACSF_Ang3_5,wACSF_Ang3_6,wACSF_Ang3_7,wACSF_Ang3_8,wACSF_Ang3_9,wACSF_Ang4_0,wACSF_Ang4_1,wACSF_Ang4_2,wACSF_Ang4_3,wACSF_Ang4_4,wACSF_Ang4_5,wACSF_Ang4_6,wACSF_Ang4_7,wACSF_Ang4_8,wACSF_Ang4_9,wACSF_Ang5_0,wACSF_Ang5_1,wACSF_Ang5_2,wACSF_Ang5_3,wACSF_Ang5_4,wACSF_Ang5_5,wACSF_Ang5_6,wACSF_Ang5_7,wACSF_Ang5_8,wACSF_Ang5_9,wACSF_Ang6_0,wACSF_Ang6_1,wACSF_Ang6_2,wACSF_Ang6_3,wACSF_Ang6_4,wACSF_Ang6_5,wACSF_Ang6_6,wACSF_Ang6_7,wACSF_Ang6_8,wACSF_Ang6_9,wACSF_Ang7_0,wACSF_Ang7_1,wACSF_Ang7_2,wACSF_Ang7_3,wACSF_Ang7_4,wACSF_Ang7_5,wACSF_Ang7_6,wACSF_Ang7_7,wACSF_Ang7_8,wACSF_Ang7_9,wACSF_Ang8_0,wACSF_Ang8_1,wACSF_Ang8_2,wACSF_Ang8_3,wACSF_Ang8_4,wACSF_Ang8_5,wACSF_Ang8_6,wACSF_Ang8_7,wACSF_Ang8_8,wACSF_Ang8_9,wACSF_Ang9_0,wACSF_Ang9_1,wACSF_Ang9_2,wACSF_Ang9_3,wACSF_Ang9_4,wACSF_Ang9_5,wACSF_Ang9_6,wACSF_Ang9_7,wACSF_Ang9_8,wACSF_Ang9_9,wACSF_Ang10_0,wACSF_Ang10_1,wACSF_Ang10_2,wACSF_Ang10_3,wACSF_Ang10_4,wACSF_Ang10_5,wACSF_Ang10_6,wACSF_Ang10_7,wACSF_Ang10_8,wACSF_Ang10_9,wACSF_Ang11_0,wACSF_Ang11_1,wACSF_Ang11_2,wACSF_Ang11_3,wACSF_Ang11_4,wACSF_Ang11_5,wACSF_Ang11_6,wACSF_Ang11_7,wACSF_Ang11_8,wACSF_Ang11_9,wACSF_Ang12_0,wACSF_Ang12_1,wACSF_Ang12_2,wACSF_Ang12_3,wACSF_Ang12_4,wACSF_Ang12_5,wACSF_Ang12_6,wACSF_Ang12_7,wACSF_Ang12_8,wACSF_Ang12_9,wACSF_Ang13_0,wACSF_Ang13_1,wACSF_Ang13_2,wACSF_Ang13_3,wACSF_Ang13_4,wACSF_Ang13_5,wACSF_Ang13_6,wACSF_Ang13_7,wACSF_Ang13_8,wACSF_Ang13_9,wACSF_Ang14_0,wACSF_Ang14_1,wACSF_Ang14_2,wACSF_Ang14_3,wACSF_Ang14_4,wACSF_Ang14_5,wACSF_Ang14_6,wACSF_Ang14_7,wACSF_Ang14_8,wACSF_Ang14_9,wACSF_Ang15_0,wACSF_Ang15_1,wACSF_Ang15_2,wACSF_Ang15_3,wACSF_Ang15_4,wACSF_Ang15_5,wACSF_Ang15_6,wACSF_Ang15_7,wACSF_Ang15_8,wACSF_Ang15_9,wACSF_Ang16_0,wACSF_Ang16_1,wACSF_Ang16_2,wACSF_Ang16_3,wACSF_Ang16_4,wACSF_Ang16_5,wACSF_Ang16_6,wACSF_Ang16_7,wACSF_Ang16_8,wACSF_Ang16_9,wACSF_Ang17_0,wACSF_Ang17_1,wACSF_Ang17_2,wACSF_Ang17_3,wACSF_Ang17_4,wACSF_Ang17_5,wACSF_Ang17_6,wACSF_Ang17_7,wACSF_Ang17_8,wACSF_Ang17_9,wACSF_Ang18_0,wACSF_Ang18_1,wACSF_Ang18_2,wACSF_Ang18_3,wACSF_Ang18_4,wACSF_Ang18_5,wACSF_Ang18_6,wACSF_Ang18_7,wACSF_Ang18_8,wACSF_Ang18_9,wACSF_Ang19_0,wACSF_Ang19_1,wACSF_Ang19_2,wACSF_Ang19_3,wACSF_Ang19_4,wACSF_Ang19_5,wACSF_Ang19_6,wACSF_Ang19_7,wACSF_Ang19_8,wACSF_Ang19_9
4-(Methoxycarbonyl)phenyl ß-D-glucopyranoside,0,7,17,13,3,0,0,0,0,0,0,0,1,5,6,11,3,10,4,0,0,0,0,4,3,3,10,9,6,5,0,0,4,3,7,10,10,5,1,0,0,2,18,10,9,1,0,0,0,0,0,30,10,0,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,3,18,8,11,0,0,0,0,0,0,0,2,7,7,10,2,1,5,1,5,4,4,8,11,6,4,3,0,0,0,14,22,4,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,15,11,3,11,0,0,0,0,0,0,18,13,9,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
4-Trifluoromethylphenyl ß-D-glucopyranoside,0,3,20,13,1,0,0,0,0,0,0,0,0,1,6,8,12,8,2,0,0,0,0,0,4,2,4,15,5,7,0,0,1,5,6,14,3,4,4,0,0,1,16,11,8,1,0,0,0,0,1,29,7,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,2,12,16,7,0,0,0,0,0,0,0,1,3,6,4,6,5,4,3,5,0,5,1,7,2,7,8,4,3,0,8,12,13,4,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,29,7,1,0,0,0,0,0,0,0,4,15,10,3,5,0,0,0,0,0,8,15,10,4,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
4-Nitrophenyl ß-D-glucopyranoside,0,4,21,10,1,0,0,0,0,0,0,0,0,2,7,10,7,7,3,0,0,0,0,3,0,3,8,12,4,6,0,0,3,0,9,11,5,6,2,0,0,0,18,13,5,0,0,0,0,0,6,25,5,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,19,13,3,0,0,0,0,0,0,0,3,2,7,5,4,6,1,6,2,0,5,4,1,3,11,7,2,3,0,7,11,13,5,0,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,9,11,9,2,5,0,0,0,0,0,10,13,9,4,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
4-Bromophenyl ß-D-galactopyranoside,1,4,16,11,2,0,0,0,0,0,0,0,1,1,4,9,7,9,3,0,0,0,1,0,0,3,7,12,3,8,0,0,1,0,8,12,7,1,4,1,0,0,10,16,7,1,0,0,0,0,3,25,6,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2,18,10,4,0,0,0,0,0,0,1,1,4,3,8,3,4,2,5,3,2,0,5,5,7,8,5,1,1,0,5,14,14,1,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,6,15,4,8,1,0,0,0,0,0,9,14,9,2,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
4-Chlorophenyl ß-D-galactopyranoside,1,4,15,12,2,0,0,0,0,0,0,0,1,1,6,7,8,6,5,0,0,0,0,1,1,4,6,8,6,8,0,0,1,1,7,10,9,5,1,0,0,0,16,14,4,0,0,0,0,0,8,20,6,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,16,14,0,0,0,0,0,0,0,0,2,5,4,8,1,6,4,3,1,2,2,4,4,8,6,2,5,1,0,7,13,13,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,8,14,5,7,0,0,0,0,0,0,11,11,10,2,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
4-Fluorophenyl β-D-galactopyranoside,0,7,15,11,1,0,0,0,0,0,0,0,1,2,7,5,8,6,5,0,0,0,0,1,2,3,6,9,7,6,0,0,0,1,8,10,12,3,0,0,0,0,17,14,3,0,0,0,0,0,12,17,5,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,4,17,13,0,0,0,0,0,0,0,0,2,8,1,7,4,4,4,3,1,2,4,2,5,8,5,3,4,1,0,7,13,13,1,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,8,14,6,6,0,0,0,0,0,0,11,12,9,2,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
4-Hydroxyphenyl ß-D-galactopyranoside,0,6,15,12,2,0,0,0,0,0,0,0,1,3,7,5,8,6,5,0,0,0,0,2,3,3,6,8,8,5,0,0,2,2,9,11,8,3,0,0,0,0,19,14,2,0,0,0,0,0,8,22,5,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,4,17,13,1,0,0,0,0,0,0,0,3,6,3,6,3,5,3,5,1,3,4,3,3,4,9,5,2,2,0,9,16,9,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,9,12,8,4,2,0,0,0,0,0,12,10,11,2,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
4-Methylphenyl β-D-galactopyranoside,0,8,16,11,2,0,0,0,0,0,0,0,3,3,8,7,5,8,3,0,0,0,0,4,4,3,8,9,4,5,0,0,4,3,5,16,8,1,0,0,0,0,21,13,3,0,0,0,0,0,5,26,6,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,6,16,7,8,0,0,0,0,0,0,0,5,5,6,7,2,1,6,3,2,4,6,5,8,8,4,2,0,0,0,15,19,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,14,11,5,7,0,0,0,0,0,0,18,11,8,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
Phenyl β-D-galactopyranoside,0,4,19,9,2,0,0,0,0,0,0,0,0,5,7,6,7,4,4,1,0,0,0,3,2,3,4,13,4,5,0,0,1,3,5,13,9,3,0,0,0,2,12,13,7,0,0,0,0,0,10,18,6,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,20,6,7,0,0,0,0,0,0,0,4,6,4,4,3,4,5,2,2,3,4,5,4,6,7,5,0,0,0,9,14,11,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,11,11,5,7,0,0,0,0,0,0,14,13,6,1,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
Methyl 4-(β-D-galactopyranosyloxy)benzoate,0,6,19,14,1,0,0,0,0,0,0,0,1,4,7,11,6,8,3,0,0,0,0,4,3,2,11,10,4,6,0,0,4,3,7,12,6,7,1,0,0,3,17,10,9,1,0,0,0,0,0,32,8,0,0,0,0,0,0,0,36,4,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,3,22,7,8,0,0,0,0,0,0,0,5,4,9,7,2,5,3,2,3,4,4,9,9,6,5,3,0,0,0,10,24,6,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,15,13,4,8,0,0,0,0,0,0,19,13,7,1,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
4-Acetamidophenyl β-D-galactopyranoside,0,8,20,11,2,0,0,0,0,0,0,0,3,3,7,13,5,7,3,0,0,0,0,5,2,6,11,7,7,3,0,0,5,3,10,11,7,4,1,0,0,4,16,11,10,0,0,0,0,0,0,34,7,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,4,22,7,8,0,0,0,0,0,0,0,6,3,10,9,1,3,4,4,1,5,4,11,7,5,7,2,0,0,0,15,18,8,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,0,0,0,0,15,15,3,8,0,0,0,0,0,0,22,12,7,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
4-(Trifluoromethyl)phenyl β-D-galactopyranoside,0,4,18,14,1,0,0,0,0,0,0,0,0,1,7,8,11,7,3,0,0,0,0,0,4,2,7,10,6,8,0,0,1,4,8,14,2,4,4,0,0,1,18,13,4,1,0,0,0,0,1,30,6,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,18,15,1,0,0,0,0,0,0,0,1,3,5,8,6,3,5,5,1,0,5,3,7,4,8,6,2,2,0,10,16,10,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,29,7,1,0,0,0,0,0,0,0,6,16,9,4,2,0,0,0,0,0,8,16,11,2,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
4-Nitrophenyl β-D-galactopyranoside,0,6,17,12,1,0,0,0,0,0,0,0,0,3,7,7,8,6,5,0,0,0,0,3,0,3,8,9,5,8,0,0,3,1,9,12,5,4,2,0,0,0,18,13,5,0,0,0,0,0,3,27,6,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,3,18,14,1,0,0,0,0,0,0,0,4,2,5,9,2,5,3,5,1,2,3,5,4,4,9,4,3,2,0,8,15,12,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,9,12,8,5,2,0,0,0,0,0,13,11,10,2,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
3-Methylphenyl ß-D-glucopyranoside,0,8,16,11,2,0,0,0,0,0,0,0,1,7,7,7,3,9,3,0,0,0,0,4,4,4,9,7,5,4,0,0,0,7,8,10,11,1,0,0,0,0,19,15,3,0,0,0,0,0,5,27,5,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,6,15,6,10,0,0,0,0,0,0,0,5,5,6,8,2,0,5,1,5,0,10,5,9,6,5,2,0,0,0,13,21,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0,15,9,3,10,0,0,0,0,0,0,17,11,9,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
3-Methoxyphenyl ß-D-glucopyranoside,0,7,16,14,1,0,0,0,0,0,0,0,1,7,7,6,4,11,2,0,0,0,0,2,6,5,8,8,5,4,0,0,0,5,11,11,8,3,0,0,0,0,15,16,7,0,0,0,0,0,4,28,6,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,17,8,10,0,0,0,0,0,0,1,3,5,7,8,3,0,5,1,5,2,6,6,12,5,5,2,0,0,0,14,22,2,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0,14,11,3,10,0,0,0,0,0,0,18,11,9,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
3-Hydroxyphenyl ß-D-glucopyranoside,0,8,16,10,1,0,0,0,0,0,0,0,1,3,7,6,8,7,3,0,0,0,0,1,5,1,7,11,5,5,0,0,0,3,11,7,11,3,0,0,0,2,15,17,1,0,0,0,0,0,13,17,5,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,4,16,12,3,0,0,0,0,0,0,0,3,6,4,2,5,6,1,5,3,1,6,1,2,2,11,6,3,3,0,7,10,11,7,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,10,9,9,3,4,0,0,0,0,0,10,11,10,4,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
3-Bromophenyl β-D-galactopyranoside,1,5,16,11,1,0,0,0,0,0,0,0,2,2,5,10,7,8,0,0,0,0,0,1,1,7,8,7,8,2,0,0,0,2,11,9,5,7,0,0,0,0,11,15,8,0,0,0,0,0,2,24,8,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,14,9,8,0,0,0,0,0,0,0,3,1,4,6,6,1,5,7,1,1,3,2,6,5,11,3,2,1,0,4,19,10,1,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,8,11,7,7,1,0,0,0,0,0,7,15,10,2,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
2-Bromophenyl β-D-galactopyranoside,1,11,12,9,1,0,0,0,0,0,0,0,5,3,8,6,6,5,1,0,0,0,0,1,4,10,7,4,5,3,0,0,0,4,13,7,7,3,0,0,0,0,8,22,4,0,0,0,0,0,8,20,6,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,13,9,9,0,0,0,0,0,0,0,4,3,4,4,4,1,9,3,2,0,3,5,8,7,3,6,2,0,0,4,16,10,4,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,0,11,8,5,9,1,0,0,0,0,0,12,11,9,2,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
